PLAYER,ROLE,PRICE,TEAM,IsWicketKeeper,BowlingRating,BattingRating
HARSHIT RANA,Bowler,0.2,KKR,0,4.360784313725491,10.0
KS BHARAT,Wicket-keeper,0.5,KKR,1,0,0
CHETAN SAKARIYA,Bowler,0.5,KKR,0,10.0,0
MITCHELL STARC,Bowler,24.75,KKR,0,0,0
ANGKRISH RAGHUVANSHI,Batter,0.2,KKR,0,0,0
RAMANDEEP SINGH,All-rounder,0.2,KKR,0,10.0,10.0
SHERFANE RUTHERFORD,Batter,1.5,KKR,0,0,10.0
MANISH PANDEY,Batter,0.5,KKR,0,0,10.0
MUJEEB UR RAHMAN,Batter,2.0,KKR,0,0,0
GUS ATKINSON,Bowler,1.0,KKR,0,0,0
SAKIB HUSSAIN,All-rounder,0.2,KKR,0,0,0
KL RAHUL,Batter,15.0,LSG,0,0,0
QUINTON DE KOCK,Batter,6.75,LSG,0,0,10.0
NICHOLAS POORAN,Batter,16.0,LSG,0,0,10.0
AYUSH BADONI,Batter,0.2,LSG,0,8.87878787878788,10.0
KYLE MAYERS,Bowler,0.5,LSG,0,0,0
MARCUS STOINIS,All-rounder,11.0,LSG,0,10.0,10.0
DEEPAK HOODA,Batter,5.75,LSG,0,4.362403100775195,10.0
RAVI BISHNOI,Bowler,4.0,LSG,0,10.0,0
NAVEEN-UL-HAQ,Bowler,0.5,LSG,0,0,0
KRUNAL PANDYA,All-rounder,8.25,LSG,0,10.0,10.0
YUDHVIR SINGH,Bowler,0.2,LSG,0,0,0
PRERAK MANKAD,All-rounder,0.2,LSG,0,0,10.0
YASH THAKUR,Bowler,0.45,LSG,0,0,0
MARK WOOD,Bowler,7.5,LSG,0,0,0
MAYANK YADAV,Bowler,0.2,LSG,0,0,0
MOHSIN KHAN,Bowler,0.2,LSG,0,10.0,10.0
SHIVAM MAVI,Bowler,6.4,LSG,0,10.0,7.352500000000001
ARSHIN KULKARNI,All-rounder,0.2,LSG,0,0,0
M SIDDHARTH,Bowler,2.4,LSG,0,0,0
ASHTON TURNER,Batter,1.0,LSG,0,0,0
DAVID WILLEY,All-rounder,2.0,LSG,0,4.489018626633307,10.0
MOHAMMED ARSHAD KHAN,Bowler,0.2,LSG,0,0,0
ROHIT SHARMA,Batsman,16.0,MI,0,0,10.0
JASPRIT BUMRAH,Bowler,12.0,MI,0,10.0,0
SURYAKUMAR YADAV,Batsman,8.0,MI,0,0,10.0
ISHAN KISHAN,Batsman,15.25,MI,0,0,10.0
DEWALD BREVIS,Batsman,3.0,MI,0,4.854166666666667,10.0
TILAK VARMA,Batsman,1.7,MI,0,0,10.0
HARDIK PANDYA,All Rounder,15.0,MI,0,10.0,10.0
TIM DAVID,All-Rounder,8.25,MI,0,0,10.0
ARJUN TENDULKAR,Bowler,0.3,MI,0,0,0
KUMAR KARTIKEYA,Bowler,0.2,MI,0,0,0
JASON BEHRENDORFF,Bowler,0.75,MI,0,0,0
AKASH MADHWAL,Bowler,0.2,MI,0,0,0
VISHNU VINOD,Wicket-keeper,0.2,MI,1,0,0
ROMARIO SHEPHERD,All Rounder,0.5,MI,0,10.0,10.0
SHAMS MULANI,All Rounder,0.2,MI,0,0,0
NEHAL WADHERA,Batter,0.2,MI,0,0,0
PIYUSH CHAWLA,Bowler,0.5,MI,0,0,0
GERALD COETZEE,All-rounder,5.0,MI,0,0,0
DILSHAN MADUSHANKA,Bowler,4.6,MI,0,0,0
SHREYAS GOPAL,Bowler,0.2,MI,0,4.3758948710405035,10.0
NUWAN THUSHARA,Bowler,4.8,MI,0,0,0
NAMAN DHIR,All-rounder,0.2,MI,0,0,0
ANSHUL KAMBOJ,Bowler,0.2,MI,0,0,0
MOHAMMAD NABI,All-rounder,1.5,MI,0,0,0
SHIVALIK SHARMA,All-rounder,0.2,MI,0,0,0
SHIKHAR DHAWAN,Batter,8.25,PBKS,0,0,10.0
JITESH SHARMA,Batter,0.2,PBKS,0,0,10.0
PRABHSIMRAN SINGH,Batter,0.6,PBKS,0,0,0
JONNY BAIRSTOW,Wicket-keeper,6.75,PBKS,1,0,10.0
MATTHEW SHORT,Batter,0.2,PBKS,0,0,0
ATHARVA TAIDE,Batter,0.2,PBKS,0,0,0
RISHI DHAWAN,Batter,0.55,PBKS,0,10.0,10.0
SAM CURRAN,All-rounder,18.5,PBKS,0,0,0
SIKANDAR RAZA,All-rounder,0.5,PBKS,0,0,0
LIAM LIVINGSTONE,Batter,11.5,PBKS,0,10.0,10.0
GURNOOR SINGH BRAR,Bowler,0.2,PBKS,0,0,0
SHIVAM SINGH,Bowler,0.2,PBKS,0,0,0
RAHUL CHAHAR,Bowler,5.25,PBKS,0,10.0,10.0
ARSHDEEP SINGH,Bowler,4.0,PBKS,0,10.0,10.0
HARPREET BRAR,Bowler,3.8,PBKS,0,10.0,10.0
VIDWATH KAVERAPPA,Bowler,0.2,PBKS,0,0,0
NATHAN ELLIS,Bowler,0.75,PBKS,0,10.0,0
HARSHAL PATEL,All-rounder,11.75,PBKS,0,10.0,10.0
CHRIS WOAKES,All-rounder,4.2,PBKS,0,0,0
ASHUTOSH SHARMA,Batter,0.2,PBKS,0,0,0
VISHWANATH PRATAP SINGH,Batter,0.2,PBKS,0,0,0
SHASHANK SINGH,All-rounder,0.2,PBKS,0,0,10.0
TANAY THYAGARAJAN,All-rounder,0.2,PBKS,0,0,0
PRINCE CHOUDHARY,Bowler,0.2,PBKS,0,0,0
RILEE ROSSOUW,Batter,8.0,PBKS,0,0,0
SANJU SAMSON,Batter,14.0,RR,0,0,10.0
JOS BUTTLER,Batter,10.0,RR,0,0,10.0
YASHASVI JAISWAL,Batter,4.0,RR,0,0,10.0
YUZVENDRA CHAHAL,Bowler,6.5,RR,0,10.0,10.0
TRENT BOULT,Bowler,8.0,RR,0,10.0,10.0
SHIMRON HETMYER,Batter,8.5,RR,0,0,10.0
DHRUV JUREL,Batter,0.2,RR,0,0,0
RIYAN PARAG,Batter,3.8,RR,0,4.286723163841809,10.0
DONOVAN FERREIRA,All-rounder,0.5,RR,0,0,0
KUNAL RATHORE,Wicket-keeper,0.2,RR,1,0,0
RAVICHANDRAN ASHWIN,All-rounder,5.0,RR,0,10.0,10.0
KULDEEP SEN,Bowler,0.2,RR,0,10.0,0
NAVDEEP SAINI,Bowler,2.6,RR,0,10.0,10.0
PRASIDH KRISHNA,Bowler,10.0,RR,0,10.0,9.8
SANDEEP SHARMA,Bowler,0.5,RR,0,8.425490196078432,0
ADAM ZAMPA,Bowler,1.5,RR,0,0,0
ROVMAN POWELL,Batter,7.4,RR,0,0,10.0
SHUBHAM DUBEY,Batter,5.8,RR,0,0,0
TOM KOHLER-CADMORE,Wicket-keeper,0.4,RR,1,0,0
ABID MUSHTAQ,Bowler,0.2,RR,0,0,0
NANDRE BURGER,Bowler,0.5,RR,0,0,0
FAF DU PLESSIS,Batter,7.0,RCB,0,0,10.0
VIRAT KOHLI,Batter,15.0,RCB,0,0,10.0
GLENN MAXWELL,All-rounder,11.0,RCB,0,10.0,10.0
MOHAMMED SIRAJ,Bowler,7.0,RCB,0,10.0,10.0
DINESH KARTHIK,Keeper-Batter,5.5,RCB,0,0,10.0
VYSHAK VIJAYKUMAR,Bowler,0.2,RCB,0,0,0
MANOJ BHANDAGE,All-rounder,0.2,RCB,0,0,0
RAJAT PATIDAR,Batter,0.2,RCB,0,0,10.0
ANUJ RAWAT,Keeper-batter,3.4,RCB,0,0,10.0
SUYASH PRABHUDESAI,All-rounder,0.3,RCB,0,0,0
AKASH DEEP,Bowler,0.2,RCB,0,10.0,0
REECE TOPLEY,Bowler,1.9,RCB,0,0,0
RAJAN KUMAR,Bowler,0.7000000000000001,RCB,0,0,0
HIMANSHU SHARMA,All-rounder,0.2,RCB,0,0,0
KARN SHARMA,Bowler,0.5,RCB,0,0,0
MAHIPAL LOMROR,Batter,0.9500000000000001,RCB,0,0,10.0
WILL JACKS,All-rounder,3.2,RCB,0,0,0
CAMERON GREEN,All-rounder,17.5,RCB,0,0,0
ALZARRI JOSEPH,Bowler,11.5,RCB,0,10.0,10.0
YASH DAYAL,Bowler,5.0,RCB,0,10.0,0
TOM CURRAN,All-rounder,1.5,RCB,0,0,0
LOCKIE FERGUSON,Bowler,2.0,RCB,0,10.0,10.0
SWAPNIL SINGH,All-rounder,0.2,RCB,0,0,0
SOURAV CHAUHAN,All-rounder,0.2,RCB,0,0,0
ABDUL SAMAD,Batter,4.0,SRH,0,0,9.671000000000001
RAHUL TRIPATHI,Batter,8.5,SRH,0,0,10.0
GLENN PHILLIPS,Batter,1.5,SRH,0,0,0
HEINRICH KLAASEN,Batter,5.25,SRH,0,0,0
MAYANK AGARWAL,Batter,8.25,SRH,0,0,10.0
ANMOLPREET SINGH,Batter,0.2,SRH,0,0,10.0
UPENDRA YADAV,Wicket-Keeper,0.25,SRH,0,0,0
SHAHBAZ AHMED,All-rounder,2.4,SRH,0,10.0,10.0
ABHISHEK SHARMA,All-rounder,6.5,SRH,0,0,10.0
MARCO JANSEN,All-rounder,4.2,SRH,0,10.0,10.0
WASHINGTON SUNDAR,All-rounder,8.75,SRH,0,10.0,10.0
SANVIR SINGH,All-rounder,0.2,SRH,0,0,0
BHUVNESHWAR KUMAR,Bowler,4.2,SRH,0,10.0,10.0
T NATARAJAN,Bowler,4.0,SRH,0,10.0,0
MAYANK MARKANDE,Bowler,0.5,SRH,0,4.416169416169416,0
UMRAN MALIK,Bowler,4.0,SRH,0,10.0,9.200000000000003
FAZALHAQ FAROOQI,Bowler,0.5,SRH,0,8.383066472586124,4.250000000000001
TRAVIS HEAD,Batter,6.8,SRH,0,0,0
WANINDU HASARANGA,All-rounder,1.5,SRH,0,10.0,10.0
PAT CUMMINS,All-rounder,20.5,SRH,0,10.0,10.0
JAYDEV UNADKAT,Bowler,1.6,SRH,0,10.0,10.0
AKASH SINGH,Bowler,0.2,SRH,0,0,0
JHATHAVEDH SUBRAMANYAN,Bowler,0.2,SRH,0,0,0
